"","Date","European Union_Allowance Price_Domestic Currency (EUR)","California_Allowance Price_Domestic Currency (USD)","New Zealand_Allowance Price_Domestic Currency (NZD)","Hubei_Allowance Price_Domestic Currency (CNY)"
"1984",2010-06-04,15.2,NA,17.57,NA
"1987",2010-06-07,15.01,NA,NA,NA
"1988",2010-06-08,15.35,NA,17.57,NA
"1989",2010-06-09,15.67,NA,17.57,NA
"1990",2010-06-10,15.48,NA,17.57,NA
"1991",2010-06-11,15.47,NA,17.57,NA
"1994",2010-06-14,15.7,NA,17.57,NA
"1995",2010-06-15,15.71,NA,17.57,NA
"1996",2010-06-16,15.52,NA,17.57,NA
"1997",2010-06-17,15.47,NA,17.7,NA
"1998",2010-06-18,15.68,NA,17.7,NA
"2001",2010-06-21,15.69,NA,17.75,NA
"2002",2010-06-22,15.27,NA,17.75,NA
"2003",2010-06-23,15.23,NA,17.75,NA
"2004",2010-06-24,15.21,NA,17.35,NA
"2005",2010-06-25,15.14,NA,17.35,NA
"2008",2010-06-28,15.26,NA,17.75,NA
"2009",2010-06-29,15.05,NA,18.2,NA
"2010",2010-06-30,15.08,NA,18.2,NA
"2011",2010-07-01,15.09,NA,18.2,NA
"2012",2010-07-02,15.17,NA,18.2,NA
"2015",2010-07-05,15.11,NA,18.2,NA
"2016",2010-07-06,15.14,NA,18.2,NA
"2017",2010-07-07,14.8,NA,18.2,NA
"2018",2010-07-08,14.44,NA,18.45,NA
"2019",2010-07-09,14.6,NA,18.35,NA
"2022",2010-07-12,14.05,NA,18.35,NA
"2023",2010-07-13,13.94,NA,18.35,NA
"2024",2010-07-14,13.6,NA,18.35,NA
"2025",2010-07-15,13.79,NA,18.35,NA
"2026",2010-07-16,14.28,NA,18.35,NA
"2029",2010-07-19,14.33,NA,18.35,NA
"2030",2010-07-20,14.19,NA,18.35,NA
"2031",2010-07-21,13.85,NA,18.38,NA
"2032",2010-07-22,14.09,NA,18.38,NA
"2033",2010-07-23,14.04,NA,18.38,NA
"2036",2010-07-26,13.66,NA,18.38,NA
"2037",2010-07-27,13.48,NA,18.38,NA
"2038",2010-07-28,13.58,NA,18.38,NA
"2039",2010-07-29,13.92,NA,18.38,NA
"2040",2010-07-30,13.96,NA,18.38,NA
"2043",2010-08-02,14.29,NA,18.38,NA
"2044",2010-08-03,14.34,NA,18.38,NA
"2045",2010-08-04,14.26,NA,18.38,NA
"2046",2010-08-05,14.26,NA,18.38,NA
"2047",2010-08-06,14.11,NA,18.38,NA
"2050",2010-08-09,14.32,NA,18.38,NA
"2051",2010-08-10,14.38,NA,18.55,NA
"2052",2010-08-11,14.33,NA,18.55,NA
"2053",2010-08-12,14.23,NA,18.55,NA
"2054",2010-08-13,14.4,NA,18.55,NA
"2057",2010-08-16,14.31,NA,18.55,NA
"2058",2010-08-17,14.39,NA,18.55,NA
"2059",2010-08-18,14.27,NA,18.55,NA
"2060",2010-08-19,14.61,NA,18.55,NA
"2061",2010-08-20,14.94,NA,18.55,NA
"2064",2010-08-23,14.84,NA,18.55,NA
"2065",2010-08-24,14.77,NA,18.55,NA
"2066",2010-08-25,15.23,NA,18.55,NA
"2067",2010-08-26,15.27,NA,18.55,NA
"2068",2010-08-27,15.18,NA,18.55,NA
"2071",2010-08-30,15.3,NA,18.55,NA
"2072",2010-08-31,15.26,NA,18.55,NA
"2073",2010-09-01,15.27,NA,19,NA
"2074",2010-09-02,15.66,NA,19,NA
"2075",2010-09-03,15.63,NA,19,NA
"2078",2010-09-06,15.67,NA,19,NA
"2079",2010-09-07,15.64,NA,19,NA
"2080",2010-09-08,15.61,NA,19,NA
"2081",2010-09-09,15.46,NA,19,NA
"2082",2010-09-10,15.13,NA,19,NA
"2085",2010-09-13,15.31,NA,19,NA
"2086",2010-09-14,15.18,NA,19,NA
"2087",2010-09-15,15.32,NA,19,NA
"2088",2010-09-16,15.17,NA,20.5,NA
"2089",2010-09-17,15.2,NA,20.5,NA
"2092",2010-09-20,15,NA,20.5,NA
"2093",2010-09-21,14.78,NA,20.5,NA
"2094",2010-09-22,14.93,NA,20.5,NA
"2095",2010-09-23,14.82,NA,20.5,NA
"2096",2010-09-24,15.19,NA,20.5,NA
"2099",2010-09-27,15.27,NA,20.5,NA
"2100",2010-09-28,15.57,NA,20.5,NA
"2101",2010-09-29,15.57,NA,20.5,NA
"2102",2010-09-30,15.45,NA,19.4,NA
"2103",2010-10-01,15.22,NA,19.4,NA
"2106",2010-10-04,15.23,NA,19.4,NA
"2107",2010-10-05,15.44,NA,19.4,NA
"2108",2010-10-06,15.51,NA,19.4,NA
"2109",2010-10-07,15.43,NA,19.4,NA
"2110",2010-10-08,15.52,NA,19.4,NA
"2113",2010-10-11,15.67,NA,19.4,NA
"2114",2010-10-12,15.65,NA,19.4,NA
"2115",2010-10-13,15.68,NA,19.4,NA
"2116",2010-10-14,15.48,NA,19.4,NA
"2117",2010-10-15,15.44,NA,19.4,NA
"2120",2010-10-18,15.27,NA,19.4,NA
"2121",2010-10-19,15.12,NA,19.4,NA
"2122",2010-10-20,15.01,NA,19.4,NA
"2123",2010-10-21,14.98,NA,19.4,NA
"2124",2010-10-22,14.91,NA,19.4,NA
"2127",2010-10-25,15.15,NA,NA,NA
"2128",2010-10-26,15.01,NA,19.4,NA
"2129",2010-10-27,15,NA,20.05,NA
"2130",2010-10-28,14.86,NA,20.05,NA
"2131",2010-10-29,14.63,NA,20.05,NA
"2134",2010-11-01,14.62,NA,20.05,NA
"2135",2010-11-02,14.65,NA,20.05,NA
"2136",2010-11-03,14.76,NA,20.05,NA
"2137",2010-11-04,14.41,NA,20.05,NA
"2138",2010-11-05,14.43,NA,20.42,NA
"2141",2010-11-08,14.19,NA,20.42,NA
"2142",2010-11-09,14.26,NA,21,NA
"2143",2010-11-10,14.49,NA,21,NA
"2144",2010-11-11,14.78,NA,21,NA
"2145",2010-11-12,14.91,NA,21,NA
"2148",2010-11-15,15.05,NA,21,NA
"2149",2010-11-16,14.68,NA,21,NA
"2150",2010-11-17,14.89,NA,21,NA
"2151",2010-11-18,14.98,NA,21,NA
"2152",2010-11-19,14.9,NA,21,NA
"2155",2010-11-22,15.06,NA,21,NA
"2156",2010-11-23,14.95,NA,21,NA
"2157",2010-11-24,15.15,NA,20.8,NA
"2158",2010-11-25,15.08,NA,20.8,NA
"2159",2010-11-26,15.02,NA,20.8,NA
"2162",2010-11-29,14.96,NA,19,NA
"2163",2010-11-30,14.66,NA,20.74,NA
"2164",2010-12-01,14.84,NA,20.56,NA
"2165",2010-12-02,14.82,NA,20,NA
"2166",2010-12-03,14.68,NA,20,NA
"2169",2010-12-06,14.81,NA,21.42,NA
"2170",2010-12-07,14.73,NA,21.42,NA
"2171",2010-12-08,14.63,NA,21.42,NA
"2172",2010-12-09,14.53,NA,21.42,NA
"2173",2010-12-10,14.51,NA,21.42,NA
"2176",2010-12-13,14.51,NA,20.88,NA
"2177",2010-12-14,14.42,NA,20.88,NA
"2178",2010-12-15,14.24,NA,20.88,NA
"2179",2010-12-16,14.27,NA,20.38,NA
"2180",2010-12-17,13.96,NA,20.38,NA
"2183",2010-12-20,13.72,NA,20.38,NA
"2184",2010-12-21,13.85,NA,20.38,NA
"2185",2010-12-22,13.96,NA,20.3,NA
"2186",2010-12-23,13.78,NA,20.3,NA
"2187",2010-12-24,NA,NA,20.3,NA
"2190",2010-12-27,13.65,NA,NA,NA
"2191",2010-12-28,13.7,NA,NA,NA
"2192",2010-12-29,13.86,NA,20.3,NA
"2193",2010-12-30,13.8,NA,20.3,NA
"2194",2010-12-31,NA,NA,20.3,NA
"2197",2011-01-03,13.8,NA,NA,NA
"2198",2011-01-04,14.05,NA,NA,NA
"2199",2011-01-05,14.19,NA,20.3,NA
"2200",2011-01-06,14.4,NA,20.3,NA
"2201",2011-01-07,14.34,NA,20.3,NA
"2204",2011-01-10,14.13,NA,20.3,NA
"2205",2011-01-11,13.99,NA,20.3,NA
"2206",2011-01-12,13.89,NA,20.3,NA
"2207",2011-01-13,13.99,NA,20.3,NA
"2208",2011-01-14,14.08,NA,20.3,NA
"2211",2011-01-17,14.23,NA,20.3,NA
"2212",2011-01-18,14.27,NA,20.3,NA
"2213",2011-01-19,14.21,NA,19.3,NA
"2214",2011-01-20,14.11,NA,19.3,NA
"2215",2011-01-21,14.19,NA,19.3,NA
"2218",2011-01-24,14.3,NA,NA,NA
"2219",2011-01-25,14.39,NA,19.27,NA
"2220",2011-01-26,14.73,NA,19.27,NA
"2221",2011-01-27,14.42,NA,19.3,NA
"2222",2011-01-28,14.42,NA,19.4,NA
"2225",2011-01-31,14.57,NA,NA,NA
"2226",2011-02-01,14.51,NA,19.1,NA
"2227",2011-02-02,14.7,NA,19.1,NA
"2228",2011-02-03,14.43,NA,19.1,NA
"2229",2011-02-04,14.35,NA,19.1,NA
"2232",2011-02-07,14.28,NA,19.1,NA
"2233",2011-02-08,14.44,NA,19.1,NA
"2234",2011-02-09,14.45,NA,19.1,NA
"2235",2011-02-10,14.4,NA,19.4,NA
"2236",2011-02-11,14.48,NA,19.4,NA
"2239",2011-02-14,14.45,NA,19.3,NA
"2240",2011-02-15,14.46,NA,19.3,NA
"2241",2011-02-16,14.51,NA,19.3,NA
"2242",2011-02-17,14.58,NA,19.3,NA
"2243",2011-02-18,14.7,NA,19.15,NA
"2246",2011-02-21,14.74,NA,19.15,NA
"2247",2011-02-22,14.99,NA,19.15,NA
"2248",2011-02-23,14.9,NA,18.75,NA
"2249",2011-02-24,14.95,NA,18.75,NA
"2250",2011-02-25,14.98,NA,18.75,NA
"2253",2011-02-28,15.03,NA,18.75,NA
"2254",2011-03-01,14.95,NA,18.75,NA
"2255",2011-03-02,15.1,NA,18.75,NA
"2256",2011-03-03,14.85,NA,18.75,NA
"2257",2011-03-04,15.44,NA,20,NA
"2260",2011-03-07,14.9,NA,20.1,NA
"2261",2011-03-08,14.9,NA,20.1,NA
"2262",2011-03-09,14.9,NA,20.1,NA
"2263",2011-03-10,15.43,NA,20.1,NA
"2264",2011-03-11,15.42,NA,20,NA
"2267",2011-03-14,15.03,NA,20.01,NA
"2268",2011-03-15,16.3,NA,20.01,NA
"2269",2011-03-16,16.4,NA,20.01,NA
"2270",2011-03-17,16.23,NA,21.1,NA
"2271",2011-03-18,16.1,NA,21.1,NA
"2274",2011-03-21,16.1,NA,21.1,NA
"2275",2011-03-22,16.1,NA,21.1,NA
"2276",2011-03-23,16.25,NA,21.1,NA
"2277",2011-03-24,16.05,NA,21.1,NA
"2278",2011-03-25,16.4,NA,21.1,NA
"2281",2011-03-28,16.55,NA,21.1,NA
"2282",2011-03-29,16.4,NA,21.1,NA
"2283",2011-03-30,16.2,NA,21.1,NA
"2284",2011-03-31,16.45,NA,21.1,NA
"2285",2011-04-01,16.83,NA,21.1,NA
"2288",2011-04-04,16.59,NA,21.1,NA
"2289",2011-04-05,16.28,NA,20.2,NA
"2290",2011-04-06,16.43,NA,20.2,NA
"2291",2011-04-07,16.45,NA,20.2,NA
"2292",2011-04-08,16.43,NA,20.2,NA
"2295",2011-04-11,16.18,NA,20.2,NA
"2296",2011-04-12,16.15,NA,20.4,NA
"2297",2011-04-13,16.03,NA,20.4,NA
"2298",2011-04-14,16.1,NA,20.4,NA
"2299",2011-04-15,16.45,NA,20.4,NA
"2302",2011-04-18,16.17,NA,20.25,NA
"2303",2011-04-19,16.11,NA,20.25,NA
"2304",2011-04-20,16.2,NA,20.25,NA
"2305",2011-04-21,16.21,NA,20.35,NA
"2306",2011-04-22,NA,NA,NA,NA
"2309",2011-04-25,NA,NA,NA,NA
"2310",2011-04-26,16.1,NA,20.35,NA
"2311",2011-04-27,16.23,NA,20.3,NA
"2312",2011-04-28,16.49,NA,20.3,NA
"2313",2011-04-29,16.39,NA,20.3,NA
"2316",2011-05-02,16.5,NA,20.5,NA
"2317",2011-05-03,16.7,NA,20.5,NA
"2318",2011-05-04,16.73,NA,20.5,NA
"2319",2011-05-05,16.69,NA,20.5,NA
"2320",2011-05-06,16.45,NA,20.37,NA
"2323",2011-05-09,16.6,NA,20.37,NA
"2324",2011-05-10,16.59,NA,20.3,NA
"2325",2011-05-11,16.57,NA,19.9,NA
"2326",2011-05-12,16.41,NA,20.25,NA
"2327",2011-05-13,16.46,NA,20.25,NA
"2330",2011-05-16,16.4,NA,20.25,NA
"2331",2011-05-17,16.43,NA,20.25,NA
"2332",2011-05-18,16.17,NA,20.05,NA
"2333",2011-05-19,16.18,NA,20.1,NA
"2334",2011-05-20,16.03,NA,20.1,NA
"2337",2011-05-23,15.88,NA,20.1,NA
"2338",2011-05-24,15.98,NA,20.1,NA
"2339",2011-05-25,15.85,NA,20.1,NA
"2340",2011-05-26,16.02,NA,19.78,NA
"2341",2011-05-27,16.41,NA,19.85,NA
"2344",2011-05-30,16.83,NA,19.85,NA
"2345",2011-05-31,16.84,NA,19.85,NA
"2346",2011-06-01,16.63,NA,19.85,NA
"2347",2011-06-02,NA,NA,19.85,NA
"2348",2011-06-03,16.51,NA,19.85,NA
"2351",2011-06-06,16.45,NA,NA,NA
"2352",2011-06-07,16.38,NA,19.85,NA
"2353",2011-06-08,16.22,NA,19.85,NA
"2354",2011-06-09,16.37,NA,19.85,NA
"2355",2011-06-10,16.31,NA,19.85,NA
"2358",2011-06-13,NA,NA,19.85,NA
"2359",2011-06-14,16.15,NA,19.85,NA
"2360",2011-06-15,16.03,NA,19.85,NA
"2361",2011-06-16,15.83,NA,19.85,NA
"2362",2011-06-17,15.34,NA,19.85,NA
"2365",2011-06-20,14.98,NA,19.5,NA
"2366",2011-06-21,14.54,NA,19.25,NA
"2367",2011-06-22,14.53,NA,19.25,NA
"2368",2011-06-23,13.25,NA,19.25,NA
"2369",2011-06-24,12.35,NA,19.25,NA
"2372",2011-06-27,12.82,NA,17.97,NA
"2373",2011-06-28,13.36,NA,18.4,NA
"2374",2011-06-29,13.03,NA,18.75,NA
"2375",2011-06-30,13.3,NA,18.75,NA
"2376",2011-07-01,13.13,NA,18.75,NA
"2379",2011-07-04,13.17,NA,18.75,NA
"2380",2011-07-05,13.4,NA,18.75,NA
"2381",2011-07-06,13.08,NA,18.45,NA
"2382",2011-07-07,12.87,NA,18.2,NA
"2383",2011-07-08,12.5,NA,18.2,NA
"2386",2011-07-11,11.89,NA,18.2,NA
"2387",2011-07-12,12.24,NA,18.1,NA
"2388",2011-07-13,11.84,NA,18.1,NA
"2389",2011-07-14,12.15,NA,18.1,NA
"2390",2011-07-15,12.27,NA,18.1,NA
"2393",2011-07-18,12.04,NA,16.7,NA
"2394",2011-07-19,12.18,NA,16.7,NA
"2395",2011-07-20,12.56,NA,16.6,NA
"2396",2011-07-21,12.92,NA,16.6,NA
"2397",2011-07-22,12.78,NA,16.6,NA
"2400",2011-07-25,12.74,NA,16.6,NA
"2401",2011-07-26,12.68,NA,16.6,NA
"2402",2011-07-27,12.25,NA,16.6,NA
"2403",2011-07-28,12.33,NA,16.6,NA
"2404",2011-07-29,12.09,NA,16.6,NA
"2407",2011-08-01,11.9,NA,15.7,NA
"2408",2011-08-02,11.55,NA,15.1,NA
"2409",2011-08-03,11.24,NA,14.6,NA
"2410",2011-08-04,11.17,NA,14.6,NA
"2411",2011-08-05,10.76,NA,13.8,NA
"2414",2011-08-08,10.57,NA,13.8,NA
"2415",2011-08-09,11.22,NA,13.8,NA
"2416",2011-08-10,11.43,NA,13.8,NA
"2417",2011-08-11,12.1,NA,14.05,NA
"2418",2011-08-12,12.28,NA,14.05,NA
"2421",2011-08-15,12.34,NA,14.05,NA
"2422",2011-08-16,12.19,NA,15.1,NA
"2423",2011-08-17,12.64,NA,15.1,NA
"2424",2011-08-18,12.18,NA,15.25,NA
"2425",2011-08-19,12.32,NA,15.25,NA
"2428",2011-08-22,12.4,NA,15.3,NA
"2429",2011-08-23,12.7,NA,15.3,NA
"2430",2011-08-24,13.02,NA,15.3,NA
"2431",2011-08-25,12.84,NA,16.35,NA
"2432",2011-08-26,13.02,NA,16.35,NA
"2435",2011-08-29,13.05,NA,16.35,NA
"2436",2011-08-30,13.25,NA,16.35,NA
"2437",2011-08-31,12.81,NA,16.15,NA
"2438",2011-09-01,12.71,NA,16.15,NA
"2439",2011-09-02,12.42,NA,16.15,NA
"2442",2011-09-05,12.26,NA,16.15,NA
"2443",2011-09-06,12.04,NA,16.15,NA
"2444",2011-09-07,12.29,NA,16.15,NA
"2445",2011-09-08,12.15,NA,16.15,NA
"2446",2011-09-09,11.76,NA,16.15,NA
"2449",2011-09-12,11.76,NA,16.15,NA
"2450",2011-09-13,11.89,NA,14.55,NA
"2451",2011-09-14,12.06,NA,14.55,NA
"2452",2011-09-15,12.23,NA,14.55,NA
"2453",2011-09-16,12.01,NA,15.25,NA
"2456",2011-09-19,11.7,NA,15.25,NA
"2457",2011-09-20,11.78,NA,15.25,NA
"2458",2011-09-21,11.69,NA,15.25,NA
"2459",2011-09-22,11.24,NA,15.25,NA
"2460",2011-09-23,11.3,NA,15.25,NA
"2463",2011-09-26,10.75,NA,15.25,NA
"2464",2011-09-27,10.71,NA,15.25,NA
"2465",2011-09-28,10.39,NA,15.25,NA
"2466",2011-09-29,10.81,NA,14.1,NA
"2467",2011-09-30,10.61,NA,14.1,NA
"2470",2011-10-03,NA,NA,14.1,NA
"2471",2011-10-04,10.03,NA,14.1,NA
"2472",2011-10-05,10.12,NA,14.1,NA
"2473",2011-10-06,10.4,NA,14.1,NA
"2474",2011-10-07,10.37,NA,14.1,NA
"2477",2011-10-10,10.64,NA,13.35,NA
"2478",2011-10-11,10.6,NA,13.35,NA
"2479",2011-10-12,10.63,NA,13.35,NA
"2480",2011-10-13,10.21,NA,13.35,NA
"2481",2011-10-14,10.32,NA,13.35,NA
"2484",2011-10-17,10.27,NA,13.35,NA
"2485",2011-10-18,10.22,NA,13.35,NA
"2486",2011-10-19,9.95,NA,13.35,NA
"2487",2011-10-20,10.11,NA,13.35,NA
"2488",2011-10-21,10.3,NA,13.35,NA
"2491",2011-10-24,10.45,NA,NA,NA
"2492",2011-10-25,10.34,NA,13.35,NA
"2493",2011-10-26,10.06,NA,13.35,NA
"2494",2011-10-27,10.35,NA,13.35,NA
"2495",2011-10-28,10.34,NA,13.35,NA
"2498",2011-10-31,10.11,NA,13.35,NA
"2499",2011-11-01,9.84,NA,13.35,NA
"2500",2011-11-02,9.45,NA,13.35,NA
"2501",2011-11-03,9.63,NA,13.35,NA
"2502",2011-11-04,9.36,NA,13.35,NA
"2505",2011-11-07,9.74,NA,13.35,NA
"2506",2011-11-08,10.03,NA,13.3,NA
"2507",2011-11-09,9.83,NA,13.6,NA
"2508",2011-11-10,9.68,NA,13.4,NA
"2509",2011-11-11,10.07,NA,13.4,NA
"2512",2011-11-14,10.03,NA,13.4,NA
"2513",2011-11-15,10.05,NA,13.4,NA
"2514",2011-11-16,9.84,NA,13.4,NA
"2515",2011-11-17,9.64,NA,13.4,NA
"2516",2011-11-18,9.31,NA,13.4,NA
"2519",2011-11-21,8.88,NA,13.4,NA
"2520",2011-11-22,9.07,NA,13.4,NA
"2521",2011-11-23,8.43,NA,13.05,NA
"2522",2011-11-24,7.86,NA,13.05,NA
"2523",2011-11-25,7.72,NA,11.25,NA
"2526",2011-11-28,7.96,NA,11.25,NA
"2527",2011-11-29,7.86,NA,11.25,NA
"2528",2011-11-30,8.31,NA,11.25,NA
"2529",2011-12-01,7.97,NA,11.25,NA
"2530",2011-12-02,7.8,NA,11.25,NA
"2533",2011-12-05,7.4,NA,11.25,NA
"2534",2011-12-06,7.4,NA,11.25,NA
"2535",2011-12-07,7.18,NA,9.9,NA
"2536",2011-12-08,7.66,NA,9.9,NA
"2537",2011-12-09,7.81,NA,9.9,NA
"2540",2011-12-12,7.5,NA,9.9,NA
"2541",2011-12-13,7.05,NA,9.9,NA
"2542",2011-12-14,6.5,NA,9.9,NA
"2543",2011-12-15,6.78,NA,9.9,NA
"2544",2011-12-16,6.8,NA,8.1,NA
"2547",2011-12-19,7.05,NA,8.1,NA
"2548",2011-12-20,8.5,NA,8.1,NA
"2549",2011-12-21,7.96,NA,9.5,NA
"2550",2011-12-22,7.66,NA,9.5,NA
"2551",2011-12-23,7.67,NA,9.5,NA
"2554",2011-12-26,NA,NA,NA,NA
"2555",2011-12-27,7.75,NA,NA,NA
"2556",2011-12-28,7.39,NA,9.5,NA
"2557",2011-12-29,6.9,NA,9.5,NA
"2558",2011-12-30,6.76,NA,9.5,NA
"2561",2012-01-02,6.76,NA,NA,NA
"2562",2012-01-03,6.26,NA,NA,NA
"2563",2012-01-04,6.23,NA,9.5,NA
"2564",2012-01-05,6.5,NA,9.5,NA
"2565",2012-01-06,6.29,NA,7,NA
"2568",2012-01-09,6.4,NA,7,NA
"2569",2012-01-10,6.84,NA,7,NA
"2570",2012-01-11,6.77,NA,7,NA
"2571",2012-01-12,6.9,NA,7,NA
"2572",2012-01-13,6.73,NA,7,NA
"2575",2012-01-16,6.46,NA,7,NA
"2576",2012-01-17,6.47,NA,7,NA
"2577",2012-01-18,6.59,NA,6.92,NA
"2578",2012-01-19,7.06,NA,6.92,NA
"2579",2012-01-20,7.01,NA,6.92,NA
"2582",2012-01-23,6.87,NA,NA,NA
"2583",2012-01-24,7.35,NA,6.92,NA
"2584",2012-01-25,7.38,NA,6.92,NA
"2585",2012-01-26,7.42,NA,6.92,NA
"2586",2012-01-27,7.87,NA,7.5,NA
"2589",2012-01-30,7.67,NA,NA,NA
"2590",2012-01-31,7.82,NA,7.5,NA
"2591",2012-02-01,8.25,NA,7.5,NA
"2592",2012-02-02,8.53,NA,7.5,NA
"2593",2012-02-03,8.3,NA,8.3,NA
"2596",2012-02-06,8.5,NA,NA,NA
"2597",2012-02-07,8.53,NA,8.3,NA
"2598",2012-02-08,8.14,NA,8.3,NA
"2599",2012-02-09,7.83,NA,8.3,NA
"2600",2012-02-10,7.72,NA,8.3,NA
"2603",2012-02-13,7.45,NA,7.4,NA
"2604",2012-02-14,7.89,NA,7.4,NA
"2605",2012-02-15,8.15,NA,7.4,NA
"2606",2012-02-16,8.79,NA,7.4,NA
"2607",2012-02-17,9.05,NA,8.05,NA
"2610",2012-02-20,8.53,NA,8.05,NA
"2611",2012-02-21,8.97,NA,8.05,NA
"2612",2012-02-22,8.94,NA,8.05,NA
"2613",2012-02-23,8.63,NA,8.05,NA
"2614",2012-02-24,9.19,NA,8.05,NA
"2617",2012-02-27,9.31,NA,8.05,NA
"2618",2012-02-28,8.84,NA,8.6,NA
"2619",2012-02-29,8.33,NA,8.6,NA
"2620",2012-03-01,8.64,NA,7.75,NA
"2621",2012-03-02,8.83,NA,7.95,NA
"2624",2012-03-05,8.64,NA,7.95,NA
"2625",2012-03-06,8.31,NA,7.95,NA
"2626",2012-03-07,8.36,NA,7.95,NA
"2627",2012-03-08,8.22,NA,7.8,NA
"2628",2012-03-09,7.88,NA,7.8,NA
"2631",2012-03-12,7.64,NA,7.8,NA
"2632",2012-03-13,7.6,NA,7.8,NA
"2633",2012-03-14,7.9,NA,7.8,NA
"2634",2012-03-15,7.65,NA,7.8,NA
"2635",2012-03-16,7.59,NA,7.41,NA
"2638",2012-03-19,7.59,NA,7.41,NA
"2639",2012-03-20,7.17,NA,7.41,NA
"2640",2012-03-21,7.29,NA,7.45,NA
"2641",2012-03-22,6.71,NA,7.9,NA
"2642",2012-03-23,6.87,NA,7.9,NA
"2645",2012-03-26,6.83,NA,7.9,NA
"2646",2012-03-27,7.12,NA,7.45,NA
"2647",2012-03-28,7.05,NA,7.45,NA
"2648",2012-03-29,6.73,NA,7.45,NA
"2649",2012-03-30,6.98,NA,7.55,NA
"2652",2012-04-02,6.22,NA,7.2,NA
"2653",2012-04-03,6.35,NA,7.2,NA
"2654",2012-04-04,6.06,NA,7.2,NA
"2655",2012-04-05,6.68,NA,7.2,NA
"2656",2012-04-06,NA,NA,NA,NA
"2659",2012-04-09,NA,NA,NA,NA
"2660",2012-04-10,6.77,NA,7.2,NA
"2661",2012-04-11,6.93,NA,7.65,NA
"2662",2012-04-12,7.06,NA,7.65,NA
"2663",2012-04-13,7.15,NA,7.65,NA
"2666",2012-04-16,6.79,NA,7.65,NA
"2667",2012-04-17,7.05,NA,7.25,NA
"2668",2012-04-18,7.19,NA,7.25,NA
"2669",2012-04-19,7.32,NA,7.5,NA
"2670",2012-04-20,7.32,NA,7.5,NA
"2673",2012-04-23,7.07,NA,7.5,NA
"2674",2012-04-24,7.09,NA,7.5,NA
"2675",2012-04-25,7.03,NA,NA,NA
"2676",2012-04-26,7.22,NA,7.5,NA
"2677",2012-04-27,7.25,NA,6.9,NA
"2680",2012-04-30,7.52,NA,6.9,NA
"2681",2012-05-01,NA,NA,6.9,NA
"2682",2012-05-02,7.14,NA,6.9,NA
"2683",2012-05-03,7.04,NA,6.65,NA
"2684",2012-05-04,6.6,NA,6.65,NA
"2687",2012-05-07,6.65,NA,6.65,NA
"2688",2012-05-08,6.73,NA,6.25,NA
"2689",2012-05-09,6.67,NA,6.25,NA
"2690",2012-05-10,6.66,NA,6.25,NA
"2691",2012-05-11,6.75,NA,6.25,NA
"2694",2012-05-14,6.59,NA,6.3,NA
"2695",2012-05-15,6.45,NA,6.3,NA
"2696",2012-05-16,6.49,NA,6.3,NA
"2697",2012-05-17,NA,NA,6.35,NA
"2698",2012-05-18,6.37,NA,6.35,NA
"2701",2012-05-21,6.61,NA,6.35,NA
"2702",2012-05-22,6.89,NA,6.35,NA
"2703",2012-05-23,6.69,NA,6.35,NA
"2704",2012-05-24,6.79,NA,6.35,NA
"2705",2012-05-25,6.81,NA,6.35,NA
"2708",2012-05-28,NA,NA,6.35,NA
"2709",2012-05-29,6.53,NA,6.1,NA
"2710",2012-05-30,6.39,NA,6.1,NA
"2711",2012-05-31,6.27,NA,6,NA
"2712",2012-06-01,6.36,NA,6,NA
"2715",2012-06-04,6.41,NA,NA,NA
"2716",2012-06-05,6.36,NA,6.22,NA
"2717",2012-06-06,6.35,NA,6.2,NA
"2718",2012-06-07,6.35,NA,6.3,NA
"2719",2012-06-08,6.47,NA,6.18,NA
"2722",2012-06-11,6.57,NA,6.4,NA
"2723",2012-06-12,6.63,NA,6.4,NA
"2724",2012-06-13,6.7,NA,6.4,NA
"2725",2012-06-14,6.65,NA,6.4,NA
"2726",2012-06-15,6.65,NA,6.4,NA
"2729",2012-06-18,7.32,NA,6.4,NA
"2730",2012-06-19,7.5,NA,6.4,NA
"2731",2012-06-20,7.4,NA,6.62,NA
"2732",2012-06-21,7.45,NA,6.62,NA
"2733",2012-06-22,8.06,NA,6.5,NA
"2736",2012-06-25,7.94,NA,6.1,NA
"2737",2012-06-26,7.96,NA,6.1,NA
"2738",2012-06-27,7.88,NA,6.1,NA
"2739",2012-06-28,7.89,NA,6.1,NA
"2740",2012-06-29,8.19,NA,6.1,NA
"2743",2012-07-02,8.03,NA,6.1,NA
"2744",2012-07-03,8.24,NA,6.1,NA
"2745",2012-07-04,8.22,NA,6.1,NA
"2746",2012-07-05,8.28,NA,6.1,NA
"2747",2012-07-06,7.97,NA,6.1,NA
"2750",2012-07-09,7.92,NA,6.1,NA
"2751",2012-07-10,7.88,NA,6.1,NA
"2752",2012-07-11,7.83,NA,6.1,NA
"2753",2012-07-12,7.61,NA,6.1,NA
"2754",2012-07-13,7.56,NA,6.1,NA
"2757",2012-07-16,7.48,NA,6.1,NA
"2758",2012-07-17,7.63,NA,5.7,NA
"2759",2012-07-18,7.11,NA,5.7,NA
"2760",2012-07-19,6.81,NA,5.35,NA
"2761",2012-07-20,7.03,NA,5.3,NA
"2764",2012-07-23,7.09,NA,5.3,NA
"2765",2012-07-24,7.13,NA,5.25,NA
"2766",2012-07-25,6.79,NA,5.2,NA
"2767",2012-07-26,6.93,NA,5.2,NA
